"","topic","suggestions"
"1",1,"seeks to"
"2",2,"council considers"
"3",3,"crime prevention,crime rate,crime report"
"4",4,"police probe,police station"
"5",5,"court on"
"6",6,"claims another,claims catchment,claims damaging,claims double,claims govt,claims indurain"
"7",7,"staff join,staff strike"
"8",8,"rebels in,rebels killed,rebels push,rebels to"
"9",9,"deal to"
"10",10,"murder charge"
"11",11,"fight for"
"12",12,"court to"
"13",13,"australia a"
"14",14,"cup opener"
"15",15,"govt considers"
"16",16,"govt under"
"17",17,"police arrest"
"18",18,"forces arrest,forces asian,forces attacked,forces cattle,forces china,forces drive,forces enter,forces extended,forces in,forces launch,forces mark,forces mcgrath,forces move,forces prepare,forces release"
"19",19,"council to"
"20",20,"west bank"
"21",21,"council to"
"22",22,"palestinian pm"
"23",23,"urged to"
"24",24,"study to"
"25",25,"laws to"
"26",26,"british troops"
"27",27,"iraq war"
"28",28,"dies in"
"29",29,"survey highlights,survey shows"
"30",30,"search for"
